layer_i,layer_j,meanK
8,11,0.4753371263239205
8,12,0.3089691321105436
8,13,0.2008299358718523
8,14,0.13053945831670752
8,15,0.0848506479058584
8,16,0.05515292113880732
8,17,0.03584939874022417
8,18,0.023302109181145256
8,19,0.015146370967745078
8,20,0.009845141129034724
8,21,0.006399341733872539
8,22,0.004159572127017302
8,23,0.002703721882561236
8,24,0.0017574192236648651
8,25,0.0011423224953821271
8,26,0.0007425096219983077
8,27,0.00048263125429890823
8,28,0.0003137103152943226
8,29,0.00020391170494128065
8,30,0.0001325426082118376
8,31,8.615269533767796e-05
8,32,5.5999251969495504e-05
8,33,3.639951378017848e-05
8,34,2.3659683957122084e-05
8,35,1.5378794572128766e-05
8,36,9.996216471881445e-06
8,37,6.497540706723006e-06
8,38,4.223401459370609e-06
8,39,2.745210948589646e-06
8,40,1.7843871165830328e-06
8,41,1.1598516257790118e-06
8,42,7.539035567562383e-07
8,43,4.900373118916716e-07
8,44,3.185242527295962e-07
8,45,2.070407642744264e-07
8,46,1.3457649677831864e-07
8,47,8.747472290587261e-08
8,48,5.6858569888875956e-08
8,49,3.6958070427742184e-08
8,50,2.4022745778031487e-08
9,0,0.020711912837890034
9,1,0.04532722463369103
9,2,0.07848497491814915
9,3,0.12643412432179835
9,4,0.19821124330916748
9,5,0.30734355815095765
9,6,0.4743983127981232
9,7,0.730858903318789
9,8,1.125058287157195
9,9,1.7312878866521733
9,10,1.1253371263239162
9,11,0.7314691321105583
9,12,0.4754549358718574
9,13,0.3090457083167017
9,14,0.20087971040585484
9,15,0.13057181176380947
9,16,0.0848716776464746
9,17,0.0551665904702081
9,18,0.035858283805634994
9,19,0.023307884473661843
9,20,0.015150124907881028
9,21,0.009847581190123158
9,22,0.006400927773579974
9,23,0.004160603052827124
9,24,0.0027043919843375707
9,25,0.001757854789819523
9,26,0.0011426056133826538
9,27,0.0007426936486986443
9,28,0.0004827508716541259
9,29,0.0003137880665752167
9,30,0.0002039622432738605
9,31,0.00013257545812801457
9,32,8.617404778319239e-05
9,33,5.601313105908062e-05
9,34,3.640853518841079e-05
9,35,2.3665547872472194e-05
9,36,1.538260611710612e-05
9,37,9.998693976116403e-06
9,38,6.4991510844755205e-06
9,39,4.224448204909578e-06
9,40,2.745891333189961e-06
9,41,1.7848293665733287e-06
9,42,1.1601390882726686e-06
9,43,7.540904073771698e-07
9,44,4.901587647952852e-07
9,45,3.1860319711694874e-07
9,46,2.070920781262186e-07
9,47,1.3460985078193923e-07
9,48,8.749640300825026e-08
9,49,5.687266195542446e-08
9,50,3.6967230270989745e-08
10,0,0.01346274334462903
10,1,0.029462696011898833
10,2,0.051015233696796725
10,3,0.08218218080916785
10,4,0.1288373081509607
10,5,0.19977331279812238
10,6,0.3083589033187773
10,7,0.4750582871572069
10,8,0.7312878866521941
10,9,1.1253371263239162
10,10,1.7314691321105478
10,11,1.1254549358718655
10,12,0.7315457083167197
10,13,0.4755047104058625
10,14,0.3090780617638043
10,15,0.2009007401464713
10,16,0.13058548109521045
10,17,0.08488056271188539
10,18,0.05517236576272532
10,19,0.03586203774577141
10,20,0.023310324534750095
10,21,0.015151710947588548
10,22,0.009848612115933096
10,23,0.00640159787535638
10,24,0.00416103861898179
10,25,0.0027046751023380583
10,26,0.0017580388165198764
10,27,0.0011427252307378826
10,28,0.0007427713999795381
10,29,0.00048280140998670576
10,30,0.00031382091649139593
10,31,0.00020398359571937604
10,32,0.0001325893372175999
10,33,8.618306919142213e-05
10,34,5.601899497443062e-05
